FL_DATE,AIRLINE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,DISTANCE
2021-05-07,Frontier Airlines Inc.,MIA,CVG,-1.0,-6.0,0,948.0
2021-12-29,American Airlines Inc.,SYR,CLT,-5.0,2.0,0,603.0
2022-02-16,PSA Airlines Inc.,CLT,DCA,-6.0,9.0,0,331.0
2019-09-16,Endeavor Air Inc.,TYS,LGA,42.0,67.0,0,648.0
2022-11-23,American Airlines Inc.,ORD,SEA,0.0,-24.0,0,1721.0
2020-12-12,Endeavor Air Inc.,ATL,LFT,-5.0,-14.0,0,503.0
2023-06-16,Alaska Airlines Inc.,SCC,ANC,0.0,0.0,1,626.0
2021-09-17,Southwest Airlines Co.,SJC,LAS,0.0,-5.0,0,386.0
2019-05-05,SkyWest Airlines Inc.,SEA,BOI,0.0,-22.0,0,399.0
2022-10-02,Allegiant Air,IND,FLL,18.0,14.0,0,1005.0
2020-04-21,PSA Airlines Inc.,PNS,CLT,-6.0,-31.0,0,488.0
2021-05-13,PSA Airlines Inc.,MKE,CLT,-5.0,-2.0,0,651.0
2023-07-18,SkyWest Airlines Inc.,BOI,SEA,27.0,5.0,0,399.0
2022-05-24,JetBlue Airways,BDL,TPA,-5.0,-9.0,0,1111.0
2019-03-09,Mesa Airlines Inc.,OKC,IAD,-6.0,-6.0,0,1136.0
2020-02-27,Delta Air Lines Inc.,BOS,MCO,-5.0,9.0,0,1121.0
2020-01-21,Envoy Air,BHM,MIA,0.0,2.0,0,661.0
2022-12-16,United Air Lines Inc.,BIL,DEN,173.0,161.0,0,455.0
2019-09-04,Alaska Airlines Inc.,KOA,OAK,-12.0,-12.0,0,2378.0
2021-02-06,PSA Airlines Inc.,TYS,CLT,-8.0,-17.0,0,177.0
2019-08-05,Alaska Airlines Inc.,DTW,SEA,1.0,37.0,0,1927.0
2019-07-22,United Air Lines Inc.,SFO,EUG,-6.0,-20.0,0,451.0
2022-04-22,SkyWest Airlines Inc.,ORD,CMX,94.0,96.0,0,360.0
2020-12-19,United Air Lines Inc.,IAH,AUS,9.0,-1.0,0,140.0
2021-10-28,United Air Lines Inc.,IAH,ORD,-6.0,-31.0,0,925.0
2019-02-16,United Air Lines Inc.,IAH,LAS,-4.0,14.0,0,1222.0
2021-06-25,Allegiant Air,CLE,VPS,27.0,21.0,0,797.0
2020-12-13,American Airlines Inc.,SAT,CLT,-10.0,-28.0,0,1095.0
2022-09-27,United Air Lines Inc.,MEM,IAH,-6.0,-28.0,0,468.0
2021-09-16,Delta Air Lines Inc.,ATL,MYR,-5.0,-7.0,0,317.0
2019-10-10,Delta Air Lines Inc.,GEG,MSP,0.0,21.0,0,1175.0
